ANO,PODER LEGISLATIVO,PODER JUDICIÁRIO,MINISTERIO PÚBLICO,DEFENSORIA PÚBLICA,PODER EXECUTIVO,TOTAL
2015,"314.657.499,00","668.473.886,00","214.697.038,00","45.549.626,00","6.076.395.933,00","7.319.773.982,00"
2016,"332.643.352,00","721.604.320,00","228.491.085,00","50.123.346,00","5.290.150.063,00","6.623.012.166,00"
2017,"362.908.704,00","792.886.038,00","252.901.127,00","60.976.371,00","5.876.352.644,00","7.346.024.884,00"
2018,"383.825.779,00","879.106.702,00","278.382.792,00","71.954.583,00","6.239.001.433,00","7.852.271.289,00"
2019,"396.974.000,00","905.482.000,00","294.313.557,00","74.161.000,00","6.518.842.922,00","8.189.773.479,00"
2020,"417.123.120,00","833.869.256,00","311.370.507,00","78.225.177,00",6.899.178.570,"8.539.766.630,00"
2021,"443.721.545,00","893.968.055,00","332.802.788,00","82.777.895,00",6.866.889.431,"8.620.159.714,00"
2022,"502.622.989,00","978.544.304,00","383.050.749,00","102.640.737,00",8.041.995.595,"10.008.854.374,00"
2023,"656.987.600,00","1.328.931.230,00","489.392.027,00","136.988.261,00",10.790.537.392,"13.402.836.510,00"
2024,"797.623.767,00","1.796.622.436,00","602.677.582,00","166.562.366,00",12.713.949.846,"16.077.435.997,00"
2025,"833.777.050,00","1.729.781.343,00","633.460.856,00","174.279.842,00",13.844.865.674,"17.216.164.765,00"
