Ano,Investimento,Folha de Pagamento,Manutenção,Operações Especiais,Total
2015,"72.995.815,57","846.543.358,01","76.298.301,51","159.359.874,65","1.155.197.349,75"
2016,"58.714.793,34","802.249.400,76","94.650.192,25","156.084.802,72","1.111.699.189,07"
2017,"45.369.177,26","815.699.589,79","121.665.131,04","278.407.652,76","1.261.141.550,85"
2018,"45.238.703,22","814.096.953,16","134.945.292,98","283.447.733,88","1.277.728.683,24"
2019,"23.512.895,00","806.182.593,74","148.955.568,86","351.411.179,61","1.330.062.237,21"
2020,"25.908.478,64","839.695.799,40","128.085.748,60","196.882.957,12","1.190.572.983,75"
2021,"33.827.352,79","819.121.036,54","156.677.595,29","211.586.477,16","1.221.212.461,79"
2022,"56.795.787,34","889.644.511,39","116.578.901,25","291.678,02","1.063.310.877,99"
2023,"126.300.392,08","1.048.840.244,46","153.486.961,15","230.615.666,90","1.559.243.264,60"
2024,"104.187.778,31","1.226.153.788,75","212.123.619,47","420.872.186,10","1.963.337.372,64"
2025,"100.160.017,62","1.256.859.261,54","244.491.427,49","249.003.307,86","1.850.514.014,51"
2026,"102.382.914,82","1.333.922.698,16","216.978.028,30","317.119.671,33","1.970.403.312,61"
